Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 26_level_0
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
1,Max Aarons,eng ENG,DF,Bournemouth,eng Premier League,25-028,2000,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
2,Max Aarons,eng ENG,MF,Valencia,es La Liga,25-028,2000,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
3,Rodrigo Abajas,es ESP,DF,Valencia,es La Liga,21-265,2003,0.7,0,1,0,0.0,1.38,0.00,0.00,,24.5,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
4,James Abankwah,ie IRL,"DF,MF",Udinese,it Serie A,21-016,2004,1.0,0,1,0,0.0,1.02,0.00,0.00,,15.0,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
5,Keyliane Abdallah,fr FRA,FW,Marseille,fr Ligue 1,18-302,2006,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
6,Yunis Abdelhamid,ma MAR,DF,Saint-Étienne,fr Ligue 1,37-126,1987,10.4,0,2,1,50.0,0.19,0.10,0.00,0.00,10.8,0,0,0,0.2,0.2,0.12,-0.2,-0.2,Matches
7,Himad Abdelli,dz ALG,"MF,FW",Angers,fr Ligue 1,25-076,1999,18.7,4,20,5,25.0,1.07,0.27,0.10,0.40,24.6,0,2,3,4.2,1.8,0.09,-0.2,+0.2,Matches
8,Mohamed Abdelmoneim,eg EGY,DF,Nice,fr Ligue 1,26-000,1999,6.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
9,Ali Abdi,tn TUN,"DF,MF",Nice,fr Ligue 1,31-043,1993,8.2,2,16,5,31.3,1.94,0.61,0.13,0.40,19.8,0,0,0,1.2,1.2,0.07,+0.8,+0.8,Matches
10,Saud Abdulhamid,sa KSA,DF,Roma,it Serie A,25-198,1999,1.6,0,1,0,0.0,0.63,0.00,0.00,,24.7,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
11,Abel,es ESP,DF,Osasuna,es La Liga,24-164,2000,13.6,2,9,3,33.3,0.66,0.22,0.22,0.67,25.1,0,0,0,0.4,0.4,0.04,+1.6,+1.6,Matches
12,Nabil Aberdin,fr FRA,MF,Getafe,es La Liga,22-162,2002,2.9,0,2,0,0.0,0.68,0.00,0.00,,31.2,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
13,Oliver Abildgaard,dk DEN,MF,Como,it Serie A,28-236,1996,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
14,Matthis Abline,fr FRA,FW,Nantes,fr Ligue 1,21-310,2003,16.6,5,47,17,36.2,2.83,1.02,0.09,0.24,14.2,0,1,1,5.1,4.3,0.09,-0.1,-0.3,Matches
15,Abner,br BRA,DF,Lyon,fr Ligue 1,24-250,2000,8.8,1,6,3,50.0,0.68,0.34,0.17,0.33,19.9,0,0,0,0.2,0.2,0.03,+0.8,+0.8,Matches
16,Zakaria Aboukhlal,ma MAR,"MF,FW",Toulouse,fr Ligue 1,24-349,2000,16.8,6,50,21,42.0,2.98,1.25,0.10,0.24,14.1,0,1,2,9.3,7.7,0.16,-3.3,-2.7,Matches
17,Abdel Abqar,ma MAR,DF,Alavés,es La Liga,25-328,1999,18.5,0,6,1,16.7,0.32,0.05,0.00,0.00,7.0,0,0,0,0.5,0.5,0.09,-0.5,-0.5,Matches
18,Tammy Abraham,eng ENG,FW,Roma,it Serie A,27-122,1997,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
19,Tammy Abraham,eng ENG,FW,Milan,it Serie A,27-122,1997,8.3,2,19,9,47.4,2.28,1.08,0.05,0.11,12.9,0,1,2,6.1,4.4,0.23,-4.1,-3.4,Matches
20,Federico Accornero,it ITA,MF,Genoa,it Serie A,20-362,2004,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
21,Francesco Acerbi,it ITA,DF,Inter,it Serie A,36-357,1988,7.4,0,3,1,33.3,0.40,0.13,0.00,0.00,11.7,0,0,0,0.3,0.3,0.09,-0.3,-0.3,Matches
