Rank,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
1,Max Aarons,ENG,DF,Bournemouth,Premier League,25,2000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Max Aarons,ENG,MF,Valencia,La Liga,25,2000,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Rodrigo Abajas,ESP,DF,Valencia,La Liga,21,2003,0.7,0,1,0,0,1.38,0,0,0,24.5,0,0,0,0.1,0.1,0.07,-0.1,-0.1
4,James Abankwah,IRL,"DF,MF",Udinese,Serie A,21,2004,1,0,1,0,0,1.02,0,0,0,15,0,0,0,0.1,0.1,0.06,-0.1,-0.1
5,Keyliane Abdallah,FRA,FW,Marseille,Ligue 1,18,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Yunis Abdelhamid,MAR,DF,Saint-Étienne,Ligue 1,37,1987,10.4,0,2,1,50,0.19,0.1,0,0,10.8,0,0,0,0.2,0.2,0.12,-0.2,-0.2
7,Himad Abdelli,ALG,"MF,FW",Angers,Ligue 1,25,1999,18.7,4,20,5,25,1.07,0.27,0.1,0.4,24.6,0,2,3,4.2,1.8,0.09,-0.2,0.2
8,Mohamed Abdelmoneim,EGY,DF,Nice,Ligue 1,26,1999,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Ali Abdi,TUN,"DF,MF",Nice,Ligue 1,31,1993,8.2,2,16,5,31.3,1.94,0.61,0.13,0.4,19.8,0,0,0,1.2,1.2,0.07,0.8,0.8
10,Saud Abdulhamid,KSA,DF,Roma,Serie A,25,1999,1.6,0,1,0,0,0.63,0,0,0,24.7,0,0,0,0,0,0.03,0,0
11,Abel,ESP,DF,Osasuna,La Liga,24,2000,13.6,2,9,3,33.3,0.66,0.22,0.22,0.67,25.1,0,0,0,0.4,0.4,0.04,1.6,1.6
12,Nabil Aberdin,FRA,MF,Getafe,La Liga,22,2002,2.9,0,2,0,0,0.68,0,0,0,31.2,0,0,0,0,0,0.02,0,0
13,Oliver Abildgaard,DEN,MF,Como,Serie A,28,1996,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Matthis Abline,FRA,FW,Nantes,Ligue 1,21,2003,16.6,5,47,17,36.2,2.83,1.02,0.09,0.24,14.2,0,1,1,5.1,4.3,0.09,-0.1,-0.3
15,Abner,BRA,DF,Lyon,Ligue 1,24,2000,8.8,1,6,3,50,0.68,0.34,0.17,0.33,19.9,0,0,0,0.2,0.2,0.03,0.8,0.8
16,Zakaria Aboukhlal,MAR,"MF,FW",Toulouse,Ligue 1,24,2000,16.8,6,50,21,42,2.98,1.25,0.1,0.24,14.1,0,1,2,9.3,7.7,0.16,-3.3,-2.7
17,Abdel Abqar,MAR,DF,Alavés,La Liga,25,1999,18.5,0,6,1,16.7,0.32,0.05,0,0,7,0,0,0,0.5,0.5,0.09,-0.5,-0.5
18,Tammy Abraham,ENG,FW,Roma,Serie A,27,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Tammy Abraham,ENG,FW,Milan,Serie A,27,1997,8.3,2,19,9,47.4,2.28,1.08,0.05,0.11,12.9,0,1,2,6.1,4.4,0.23,-4.1,-3.4
20,Federico Accornero,ITA,MF,Genoa,Serie A,20,2004,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Francesco Acerbi,ITA,DF,Inter,Serie A,36,1988,7.4,0,3,1,33.3,0.4,0.13,0,0,11.7,0,0,0,0.3,0.3,0.09,-0.3,-0.3
22,Joshua Acheampong,ENG,DF,Chelsea,Premier League,18,2006,1.8,0,2,0,0,1.13,0,0,0,8.9,0,0,0,0.2,0.2,0.11,-0.2,-0.2
23,Akor Adams,NGA,FW,Montpellier,Ligue 1,25,2000,11.9,3,26,12,46.2,2.18,1,0.12,0.25,13.3,0,0,0,4.3,4.3,0.16,-1.3,-1.3
24,Che Adams,SCO,FW,Torino,Serie A,28,1996,15.8,7,35,16,45.7,2.21,1.01,0.2,0.44,16.6,0,0,0,4.3,4.3,0.12,2.7,2.7
25,Tyler Adams,USA,MF,Bournemouth,Premier League,25,1999,8.6,0,5,1,20,0.58,0.12,0,0,17.2,0,0,0,1.1,1.1,0.21,-1.1,-1.1
26,Junior Adamu,AUT,FW,Freiburg,Bundesliga,23,2001,10.3,2,22,8,36.4,2.14,0.78,0.09,0.25,12.7,0,0,0,3.9,3.9,0.18,-1.9,-1.9
27,Tosin Adarabioyo,ENG,DF,Chelsea,Premier League,27,1997,8.1,1,6,2,33.3,0.74,0.25,0.17,0.5,10.6,0,0,0,0.6,0.6,0.09,0.4,0.4
28,Martin Adeline,FRA,MF,Reims,Ligue 1,21,2003,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Karim Adeyemi,GER,"FW,MF",Dortmund,Bundesliga,23,2002,5.5,2,15,7,46.7,2.72,1.27,0.13,0.29,18.4,0,0,0,1.1,1.1,0.07,0.9,0.9
30,Simon Adingra,CIV,"FW,MF",Brighton,Premier League,23,2002,6.1,2,13,4,30.8,2.12,0.65,0.15,0.5,14.8,0,0,0,1.4,1.4,0.11,0.6,0.6
31,Amine Adli,MAR,MF,Leverkusen,Bundesliga,24,2000,2.3,0,5,0,0,2.2,0,0,0,13.5,0,0,0,0.4,0.4,0.08,-0.4,-0.4
32,Yacine Adli,FRA,MF,Fiorentina,Serie A,24,2000,12.3,3,11,4,36.4,0.9,0.33,0.27,0.75,21.5,1,0,0,0.5,0.5,0.04,2.5,2.5
33,Adrián,ESP,GK,Betis,La Liga,38,1987,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Adryelson,BRA,DF,Lyon,Ligue 1,26,1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Vasilije Adžić,MNE,"MF,FW",Juventus,Serie A,18,2006,0.3,0,1,1,100,3.46,3.46,0,0,29.1,0,0,0,0,0,0.03,0,0
36,Michel Aebischer,SUI,MF,Bologna,Serie A,28,1997,4.2,0,5,2,40,1.19,0.48,0,0,21.1,1,0,0,0.2,0.2,0.03,-0.2,-0.2
37,Oladapo Afolayan,ENG,"FW,MF",St. Pauli,Bundesliga,26,1998,13.5,2,28,9,32.1,2.08,0.67,0.07,0.22,19.4,0,0,0,2.7,2.7,0.1,-0.7,-0.7
38,Emmanuel Agbadou,CIV,DF,Wolves,Premier League,27,1997,3,0,1,0,0,0.33,0,0,0,29.4,0,0,0,0,0,0.02,0,0
39,Emmanuel Agbadou,CIV,DF,Reims,Ligue 1,27,1997,14,0,15,3,20,1.07,0.21,0,0,28.8,1,0,0,0.5,0.5,0.04,-0.5,-0.5
40,Asher Agbinone,ENG,MF,Crystal Palace,Premier League,19,2005,0.1,0,1,0,0,15,0,0,0,26.3,0,0,0,0,0,0.02,0,0
41,Jeremy Agbonifo,SWE,FW,Lens,Ligue 1,19,2005,0.3,1,2,1,50,5.81,2.9,0.5,1,9.4,0,0,0,0.5,0.5,0.24,0.5,0.5
42,Julen Agirrezabala,ESP,GK,Athletic Club,La Liga,24,2000,13.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,Lucien Agoume,FRA,MF,Sevilla,La Liga,22,2002,11.4,0,5,0,0,0.44,0,0,0,13.7,0,0,0,0.2,0.2,0.05,-0.2,-0.2
44,Felix Agu,GER,DF,Werder Bremen,Bundesliga,25,1999,8.9,2,3,3,100,0.34,0.34,0.67,0.67,12.9,0,0,0,0.7,0.7,0.22,1.3,1.3
45,Álvaro Aguado,ESP,MF,Espanyol,La Liga,28,1996,3.6,0,9,0,0,2.49,0,0,0,23.4,1,0,0,0.4,0.4,0.05,-0.4,-0.4
46,Lorenzo Aguado,ESP,DF,Real Madrid,La Liga,22,2002,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Nayef Aguerd,MAR,DF,Real Sociedad,La Liga,28,1996,14.2,0,11,4,36.4,0.77,0.28,0,0,10.1,0,0,0,2,2,0.18,-2,-2
48,Ruben Aguilar,FRA,DF,Lens,Ligue 1,31,1993,3.1,0,2,0,0,0.65,0,0,0,13.3,0,0,0,0.2,0.2,0.08,-0.2,-0.2
49,Naouirou Ahamada,FRA,FW,Rennes,Ligue 1,22,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,Honest Ahanor,ITA,DF,Genoa,Serie A,16,2008,0.9,0,1,0,0,1.06,0,0,0,9.1,0,0,0,0.1,0.1,0.08,-0.1,-0.1
51,Erik Ahlstrand,SWE,"FW,MF",St. Pauli,Bundesliga,23,2001,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Jean-Eudes Aholou,CIV,MF,Angers,Ligue 1,30,1994,15,2,22,6,27.3,1.47,0.4,0.09,0.33,20,0,0,0,1.4,1.4,0.06,0.6,0.6
53,Joseph Aidoo,GHA,DF,Celta Vigo,La Liga,29,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,Ayman Aiki,FRA,"FW,MF",Saint-Étienne,Ligue 1,19,2005,1.4,0,3,1,33.3,2.13,0.71,0,0,23.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1
55,Ola Aina,NGA,DF,Nott'ham Forest,Premier League,28,1996,22.1,2,7,2,28.6,0.32,0.09,0.29,1,22.8,0,0,0,0.6,0.6,0.08,1.4,1.4
56,Rayan Aït-Nouri,ALG,DF,Wolves,Premier League,23,2001,20.9,3,19,5,26.3,0.91,0.24,0.16,0.6,14.9,0,0,0,1.6,1.6,0.09,1.4,1.4
57,Kristoffer Ajer,NOR,DF,Brentford,Premier League,26,1998,8,0,3,2,66.7,0.38,0.25,0,0,7.9,0,0,0,0.5,0.5,0.17,-0.5,-0.5
58,Ludovic Ajorque,FRA,FW,Brest,Ligue 1,30,1994,14.5,7,20,12,60,1.38,0.83,0.35,0.58,12.2,0,0,1,4.1,3.3,0.17,2.9,3.7
59,Manuel Akanji,SUI,DF,Manchester City,Premier League,29,1995,18,0,9,1,11.1,0.5,0.06,0,0,17.6,0,0,0,0.5,0.5,0.06,-0.5,-0.5
60,Ümit Akdag,ROU,DF,Toulouse,Ligue 1,21,2003,3.3,0,1,0,0,0.3,0,0,0,31.6,0,0,0,0,0,0.01,0,0
61,Nathan Aké,NED,DF,Manchester City,Premier League,29,1995,6.7,0,3,0,0,0.45,0,0,0,10,0,0,0,0.2,0.2,0.07,-0.2,-0.2
62,Ilias Akhomach,MAR,"MF,FW",Villarreal,La Liga,20,2004,6.5,1,17,6,35.3,2.62,0.92,0.06,0.17,23.3,0,0,0,0.6,0.6,0.03,0.4,0.4
63,Sergio Akieme,ESP,DF,Reims,Ligue 1,27,1997,14.9,1,13,3,23.1,0.87,0.2,0.08,0.33,19.9,0,0,0,0.5,0.5,0.04,0.5,0.5
64,Maghnes Akliouche,FRA,"FW,MF",Monaco,Ligue 1,22,2002,13.3,3,32,7,21.9,2.41,0.53,0.09,0.43,16.7,0,0,0,3.9,3.9,0.12,-0.9,-0.9
65,Clément Akpa,CIV,DF,Auxerre,Ligue 1,23,2001,15.8,0,4,1,25,0.25,0.06,0,0,19.3,0,0,0,0.1,0.1,0.03,-0.1,-0.1
66,Jean-Daniel Akpa-Akpro,CIV,"MF,DF",Monza,Serie A,32,1992,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
